,Date,BuySell,Price,Amount,PriceBought
0,2010-02-11,Buy,0.432552,20806.0,0
1,2010-03-02,Buy,0.4886592520383108,234.0,0
2,2010-03-12,Sell,0.54889045412451,232.0,0.432552
3,2010-04-13,Sell,0.6168458709140002,229.0,0.432552
4,2010-05-05,Buy,0.554591127829115,232.0,0
5,2010-05-06,Buy,0.4983510711983968,234.0,0
6,2010-05-07,Buy,0.44794531674310134,237.0,0
7,2010-05-10,Sell,0.5030843686496278,234.0,0.432552
8,2010-05-11,Sell,0.5651893738832686,232.0,0.432552
9,2010-05-14,Buy,0.5082355301155895,234.0,0
10,2010-05-20,Buy,0.45684222169879,237.0,0
11,2010-05-25,Buy,0.41057452107335946,240.0,0
12,2010-05-26,Sell,0.4610545847052789,237.0,0.432552
13,2010-06-08,Buy,0.41453992181027544,240.0,0
14,2010-06-11,Sell,0.4655148514180354,237.0,0.432552
15,2010-06-18,Sell,0.5230490131271368,234.0,0.432552
16,2010-06-24,Buy,0.4701853164911592,237.0,0
17,2010-06-29,Buy,0.4225863891037838,240.0,0
18,2010-07-01,Buy,0.37974737177052076,242.0,0
19,2010-07-08,Sell,0.42659549428687793,240.0,0.432552
20,2010-07-26,Sell,0.47937956621643096,237.0,0.432552
21,2010-08-12,Buy,0.4309916546625543,240.0,0
22,2010-08-27,Buy,0.38731070839466847,243.0,0
23,2010-09-01,Sell,0.43490325304799493,240.0,0.432552
24,2010-09-09,Sell,0.48870028481873423,237.0,0.432552
25,2010-09-20,Sell,0.5490603067774756,235.0,0.432552
26,2010-10-13,Sell,0.6170531042285871,232.0,0.432552
27,2010-11-01,Sell,0.6933300980466063,230.0,0.432552
28,2010-12-20,Sell,0.7792454265053128,227.0,0.432552
29,2011-01-14,Sell,0.8756089722200309,224.0,0.432552
30,2011-03-15,Buy,0.7871128082655857,227.0,0
31,2011-03-30,Sell,0.8840107463424782,225.0,0.432552
32,2011-04-18,Buy,0.7950463775765145,227.0,0
33,2011-04-20,Sell,0.8929308542555912,225.0,0.432552
34,2011-06-07,Buy,0.8030600077918836,227.0,0
35,2011-06-16,Buy,0.7217330688654403,230.0,0
36,2011-06-28,Sell,0.8104254748764538,227.0,0.432552
37,2011-07-05,Sell,0.9105956836538193,225.0,0.432552
38,2011-08-02,Buy,0.8189245403339365,227.0,0
39,2011-08-04,Buy,0.7360113112522888,230.0,0
40,2011-08-05,Buy,0.6613499053464746,232.0,0
41,2011-08-08,Buy,0.5944315535786787,235.0,0
42,2011-08-11,Sell,0.6675649516748806,232.0,0.432552
43,2011-08-11,Buy,0.6001553287284699,235.0,0
44,2011-08-12,Sell,0.6740037377702234,232.0,0.432552
45,2011-08-18,Buy,0.605934359011577,235.0,0
46,2011-08-19,Buy,0.5445397907252457,238.0,0
47,2011-08-23,Sell,0.6114533116173188,235.0,0.432552
48,2011-08-29,Sell,0.687068472945422,232.0,0.432552
49,2011-09-06,Buy,0.6176601346157738,235.0,0
50,2011-09-07,Sell,0.6936958470987692,232.0,0.432552
51,2011-09-12,Buy,0.6236081558685513,235.0,0
52,2011-09-14,Sell,0.7003873065189329,232.0,0.432552
53,2011-09-19,Sell,0.7868204929858315,230.0,0.432552
54,2011-09-28,Buy,0.7075011089393474,232.0,0
55,2011-09-29,Buy,0.6359815521176992,235.0,0
56,2011-10-03,Buy,0.5715852692510843,238.0,0
57,2011-10-05,Sell,0.6418696905000965,235.0,0.432552
58,2011-10-10,Sell,0.721193653235489,233.0,0.432552
59,2011-10-14,Sell,0.810548164255433,230.0,0.432552
60,2011-10-20,Buy,0.7288095972456211,233.0,0
61,2011-10-24,Sell,0.8183541173900837,230.0,0.432552
62,2011-11-01,Buy,0.7358166082040187,233.0,0
63,2011-11-08,Sell,0.8262354410751372,230.0,0.432552
64,2011-11-10,Buy,0.7428911659737245,233.0,0
65,2011-11-21,Buy,0.667520963489558,235.0,0
66,2011-12-01,Sell,0.7497826792075595,233.0,0.432552
67,2011-12-14,Buy,0.6742726828348246,235.0,0
68,2012-01-03,Sell,0.7573745155393395,233.0,0.432552
69,2012-01-18,Sell,0.8511533844009468,230.0,0.432552
70,2012-02-03,Sell,0.9563449729322097,228.0,0.432552
71,2012-02-28,Sell,1.0748162413343207,225.0,0.432552
72,2012-03-19,Sell,1.2076743928518094,223.0,0.432552
73,2012-04-23,Buy,1.0860942306901393,225.0,0
74,2012-04-27,Sell,1.219850208076739,223.0,0.432552
75,2012-05-04,Buy,1.0970321730106352,225.0,0
76,2012-05-17,Buy,0.9859653243344089,228.0,0
77,2012-06-01,Buy,0.8859403583934015,230.0,0
78,2012-06-07,Sell,0.9951053080532035,228.0,0.432552
79,2012-08-03,Sell,1.118323913768861,225.0,0.432552
80,2012-08-21,Sell,1.2564985269724354,223.0,0.432552
81,2012-10-19,Buy,1.1299470398976625,225.0,0
82,2012-11-07,Buy,1.0155873889586815,228.0,0
83,2012-11-16,Buy,0.9125925663993681,230.0,0
84,2012-11-23,Sell,1.025080647284478,228.0,0.432552
85,2013-01-02,Sell,1.1519674984217585,225.0,0.432552
86,2013-04-10,Sell,1.2942496932909084,223.0,0.432552
87,2013-04-18,Buy,1.1638511282566035,225.0,0
88,2013-04-25,Sell,1.3072995907908,223.0,0.432552
89,2013-05-08,Sell,1.4690996860531123,220.0,0.432552
90,2013-06-21,Buy,1.3207086198493094,223.0,0
91,2013-07-08,Sell,1.4831549986170618,220.0,0.432552
92,2013-07-30,Sell,1.6662363811077965,218.0,0.432552
93,2013-09-18,Sell,1.872317714702388,216.0,0.432552
94,2013-10-18,Sell,2.1043233003586956,213.0,0.432552
95,2013-11-29,Sell,2.36431700057211,211.0,0.432552
96,2014-01-22,Sell,2.6569157201800757,209.0,0.432552
97,2014-01-27,Buy,2.3895920695846384,211.0,0
98,2014-02-13,Sell,2.683522812447131,209.0,0.432552
99,2014-04-07,Buy,2.413493679410841,211.0,0
100,2014-05-23,Sell,2.7103967224139467,209.0,0.432552
101,2014-06-24,Sell,3.0462825626669803,206.0,0.432552
102,2014-07-23,Sell,3.42251282898267,204.0,0.432552
103,2014-10-13,Buy,3.0773823101703486,206.0,0
104,2014-10-15,Buy,2.766056488716915,209.0,0
105,2014-10-20,Sell,3.1058725990370273,206.0,0.432552
106,2014-10-23,Sell,3.489358988488151,204.0,0.432552
107,2014-11-11,Sell,3.92076252184195,202.0,0.432552
108,2014-11-28,Sell,4.406100717338234,200.0,0.432552
109,2014-12-15,Buy,3.9627047385716017,202.0,0
110,2015-02-13,Sell,4.450013955441267,200.0,0.432552
111,2015-07-16,Sell,5.001437940431986,197.0,0.432552
112,2015-08-20,Buy,4.4960667404422,200.0,0
113,2015-08-21,Buy,4.039734265227645,202.0,0
114,2015-08-24,Buy,3.630232263705894,204.0,0
115,2015-08-27,Sell,4.077398188480202,202.0,0.432552
116,2015-09-01,Buy,3.666415640263407,204.0,0
117,2015-09-09,Sell,4.118089173988956,202.0,0.432552
